ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION,Community Areas,Historical Wards 2003-2015,Zip Codes,Census Tracts,Wards
1227100-20201116,2750904,208974,1,"RESCO 8, L.L.C.",PIECE,1927 W NORTH AVE 1ST,CHICAGO,IL,60622,2,21,2-21,14,1050,Public Place of Amusement,743,Provides Onsite Amusement or Entertainment,1227100,RENEW,,09/15/2020,11/18/2020,N,11/16/2020,11/15/2022,11/18/2020,11/19/2020,AAI,,33,41.910397186,-87.676181096,"(41.910397185945115, -87.6761810963592)",25,24,21560,482,11
58658-20200316,2709907,40783,1,SUPERIOR PETROLEUM MARKETERS,SUPERIOR PETROLEUM MARKETERS,2336  ALBRIGHT LN  1,WHEATON,IL,60189,,,,,1010,Limited Business License,,,58658,RENEW,,01/15/2020,01/23/2020,N,03/16/2020,03/15/2022,01/23/2020,01/31/2020,AAI,,,,,,,,,,
2762168-20201120,2762168,471741,1,QUALITY MOLDING PRODUCTS LLC,QUALITY MOLDING PRODUCTS,1800  NATIONS DR 1 117,GURNEE,IL,60031,,,,,4404,Regulated Business License,673,Home Repair Services,2762168,ISSUE,11/18/2020,11/18/2020,11/20/2020,N,11/20/2020,12/15/2022,11/20/2020,11/20/2020,AAI,,,,,,,,,,
1742217-20201016,2746596,308558,1,"TWIST ELEVEN, INC.",LILLIAN DION SALON,1020 S WABASH AVE  101,CHICAGO,IL,60605,4,58,4-58,1,1010,Limited Business License,894,Hair Services,1742217,RENEW,,08/15/2020,11/19/2020,N,10/16/2020,10/15/2022,11/19/2020,11/20/2020,AAI,,,41.869458835,-87.626027446,"(41.86945883538021, -87.62602744550121)",38,48,14913,368,10
2501370-20201216,2756508,411957,1,THE HOAGIE PLACE INC.,THE HOAGIE PLACE INC.,8147 S HALSTED ST 1,CHICAGO,IL,60620,21,2,21-2,6,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2501370,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.745618963,-87.643747679,"(41.74561896282266, -87.64374767916266)",70,18,21554,529,13
8657-20201216,2754718,25915,1,PROTECH AUTOMOTIVE INC,PRO TECH AUTOMOTIVE INC,3053 W IRVING PARK RD,CHICAGO,IL,60618,33,6,33-6,17,1010,Limited Business License,,,8657,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,60,41.953827453,-87.70527649,"(41.953827452556375, -87.70527648972201)",16,2,21538,372,20
1145649-20201216,2755070,216137,1,BUY LOW LIQUORS INC.,CENTRAL BUY LOW LIQUOR,3360 W MONTROSE AVE,CHICAGO,IL,60618,33,33,33-33,17,1474,Package Goods,774,Retail Sales of Packaged Liquor,1145649,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,60,41.961239671,-87.713076618,"(41.96123967064833, -87.7130766179954)",14,2,21538,24,20
2368270-20201216,2756030,392262,1,JBC FUNDS 33 NORTH LASALLE LLC,JBC FUNDS 33 NORTH LASALLE LLC,33 N LA SALLE ST  1950,CHICAGO,IL,60602,42,9,42-9,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2368270,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.882797707,-87.632242081,"(41.88279770704961, -87.63224208140493)",38,22,14310,92,36
39805-20200816,2733502,15861,1,FERNANDO VASQUEZ,ROSY'S BAKERY,3237 W 26TH ST,CHICAGO,IL,60623,12,8,12-8,10,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,39805,RENEW,,06/15/2020,09/14/2020,N,08/16/2020,08/15/2022,09/14/2020,11/20/2020,AAI,,25,41.844389255,-87.706405837,"(41.84438925530773, -87.70640583702438)",32,14,21569,146,1
2397276-20201016,2746585,306481,1,"SAAJ CAFE, INC.",TAXIM,1558 N MILWAUKEE AVE 1,CHICAGO,IL,60622,1,8,1-8,14,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2397276,RENEW,,08/15/2020,10/14/2020,N,10/16/2020,10/15/2022,10/14/2020,11/20/2020,AAI,,33,41.909738341,-87.676692655,"(41.90973834112386, -87.67669265473931)",25,24,21560,481,41
2757759-20201120,2757759,471284,1,Squeez Juice Bar INC.,Squeez Juice Bar,705 W BELDEN AVE,CHICAGO,IL,60614,43,,43-,,1006,Retail Food Establishment,1050,Preparation and Sale of Coffee and/or Drinks,2757759,ISSUE,10/30/2020,10/30/2020,10/30/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,35,41.923556201,-87.646501419,"(41.92355620096032, -87.64650141883769)",68,51,21190,798,34
2762225-20201120,2762225,471784,1,EsdotNelson LLC,EsdotNelson LLC,6254 N OAKLEY AVE 3,CHICAGO,IL,60659,50,,50-,,4404,Regulated Business License,724,Other Home Based Businesses,2762225,ISSUE,11/19/2020,11/19/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.995745354,-87.687519015,"(41.995745353828305, -87.6875190147009)",20,42,4450,53,27
1916135-20201216,2755561,334106,1,"EMBELLISH BOUTIQUE, INC.",EMBELLISH,4161 N LINCOLN AVE 1ST,CHICAGO,IL,60618,47,35,47-35,19,1010,Limited Business License,,,1916135,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,38,41.95761328,-87.681014995,"(41.957613280150575, -87.68101499489315)",46,13,21538,623,18
2762091-20201120,2762091,471698,1,K&K CONSTRUCTION INC,K&K CONSTRUCTION INC,845 N SACRAMENTO BLVD,CHICAGO,IL,60622,26,,26-,,4404,Regulated Business License,758,Residential Remodeling and Repair (Home Based Business),2762091,ISSUE,11/16/2020,11/16/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.897049501,-87.702101594,"(41.89704950106487, -87.70210159423034)",24,10,21560,150,49
1847530-20201016,2746588,306481,1,"SAAJ CAFE, INC.",TAXIM,1558 N MILWAUKEE AVE 1,CHICAGO,IL,60622,1,8,1-8,14,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1847530,RENEW,,08/15/2020,10/14/2020,N,10/16/2020,10/15/2022,10/14/2020,11/20/2020,AAI,,33,41.909738341,-87.676692655,"(41.90973834112386, -87.67669265473931)",25,24,21560,481,41
1489423-20200516,2720563,275148,1,"CHICAGO DECKING, INC","CHICAGO DECKING, INC",4433 E 83RD ST,MERRILLVILLE,IN,46410,,,,,1010,Limited Business License,,,1489423,RENEW,,03/15/2020,04/01/2020,N,05/16/2020,05/15/2022,04/01/2020,04/02/2020,AAI,,,,,,,,,,
2699239-20201120,2699239,464217,1,PORK CHOP HYDE PARK II LLC,PORKCHOP,1625 N HALSTED ST 1,CHICAGO,IL,60614,2,12,2-12,18,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2699239,ISSUE,11/06/2019,11/06/2019,11/06/2019,N,11/20/2020,12/15/2022,11/20/2020,11/20/2020,AAI,,,41.911704382,-87.648147117,"(41.9117043820104, -87.64814711684095)",68,51,21190,273,11
2762079-20201120,2762079,471691,1,Another Level LLC,Another Level Beauty & Barber Salon,5868 W LAKE ST 1,CHICAGO,IL,60644,29,,29-,,1010,Limited Business License,894,Hair Services,2762079,ISSUE,11/16/2020,11/16/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.88804144,-87.771881964,"(41.8880414400753, -87.77188196443433)",26,52,22216,672,7
2492251-20201016,2747922,410165,1,"GOREE CUISINE, LLC","GOREE CUISINE, LLC",1126 E 47TH ST 1ST,CHICAGO,IL,60609,4,49,4-49,9,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2492251,RENEW,,08/15/2020,11/19/2020,N,10/16/2020,10/15/2022,11/19/2020,11/20/2020,AAI,,47,41.809736952,-87.598164563,"(41.80973695200191, -87.59816456289613)",5,1,4301,395,10
2762229-20201120,2762229,471790,1,PRIMA LASH AND BEAUTY SUPPLY LLC,PRIMA LASH AND BEAUTY SUPPLY,755 W 35TH ST,CHICAGO,IL,60609,11,,11-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2762229,ISSUE,11/19/2020,11/19/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.830643413,-87.645874518,"(41.83064341340764, -87.64587451812167)",58,26,14924,172,48
2657990-20201120,2657990,457394,1,CHICAGO EATS SPORTS BAR LLC,CHICAGO EATS SPORTS BAR,5312 W CHICAGO AVE 1,CHICAGO,IL,60651,37,18,37-18,15,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2657990,ISSUE,03/21/2019,02/25/2020,06/05/2019,Y,11/20/2020,10/15/2022,11/20/2020,11/20/2020,AAI,,,41.895017753,-87.758649042,"(41.8950177526945, -87.75864904199005)",26,4,4299,562,45
2757427-20201120,2757427,471070,1,Jose Tirado,Chuy's Tools,4100 S ASHLAND AVE 1ST OUTDOOR,CHICAGO,IL,60609,12,,12-,,1010,Limited Business License,904,Retail Sales of General Merchandise,2757427,ISSUE,10/26/2020,10/26/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,10,41.819441426,-87.665375545,"(41.81944142629576, -87.6653755449091)",59,29,14924,706,1
2196710-20201116,2751984,376744,1,CESAR BENAVIDES,UNIVERSAL CUTS,4422 N MILWAUKEE AVE 1 1,CHICAGO,IL,60630,45,40,45-40,16,1010,Limited Business License,894,Hair Services,2196710,RENEW,,09/15/2020,11/19/2020,N,11/16/2020,11/15/2022,11/19/2020,11/20/2020,AAI,,,41.961216683,-87.755156787,"(41.961216682580755, -87.7551567872609)",15,20,21869,259,50
2192852-20201116,2751924,376272,1,NORTHERN CITY INC.,NORTHERN CITY INC.,742 W 31ST ST 1ST,CHICAGO,IL,60616,11,45,11-45,9,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,2192852,RENEW,,09/15/2020,11/19/2020,N,11/16/2020,11/15/2022,11/19/2020,11/20/2020,AAI,,,41.838164078,-87.645548855,"(41.83816407759247, -87.64554885514043)",58,26,21194,688,48
2363616-20201216,2756093,394478,1,HECTOR PRODUCE CORP.,HECTOR PRODUCE CORP.,2525 S BLUE ISLAND AVE 1ST 104,CHICAGO,IL,60608,25,,25-,,1007,Wholesale Food Establishment,642,Direct Food Sales to Businesses,2363616,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.846356816,-87.681117595,"(41.84635681611705, -87.68111759502568)",33,8,14920,204,26
1145648-20201216,2755068,216137,1,BUY LOW LIQUORS INC.,CENTRAL BUY LOW LIQUOR,3360 W MONTROSE AVE,CHICAGO,IL,60618,33,33,33-33,17,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1145648,RENEW,,10/15/2020,11/19/2020,N,12/16/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,60,41.961239671,-87.713076618,"(41.96123967064833, -87.7130766179954)",14,2,21538,24,20
2657989-20201120,2657989,457394,1,CHICAGO EATS SPORTS BAR LLC,CHICAGO EATS SPORTS BAR,5312 W CHICAGO AVE 1,CHICAGO,IL,60651,37,18,37-18,15,1477,Outdoor Patio,784,Sale of Liquor Outdoors on Private Property,2657989,ISSUE,03/21/2019,02/25/2020,06/05/2019,Y,11/20/2020,12/15/2022,11/20/2020,11/20/2020,AAI,,,41.895017753,-87.758649042,"(41.8950177526945, -87.75864904199005)",26,4,4299,562,45
1592119-20200916,2740749,288449,1,"SVOBODA COLLINS, LLC",Svoboda Capital Partners LLC,1 N FRANKLIN ST 11TH 1105,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1592119,RENEW,,07/15/2020,08/31/2020,N,09/16/2020,09/15/2022,08/31/2020,09/01/2020,AAI,,,41.881967467,-87.635165443,"(41.881967467024346, -87.6351654428475)",38,22,14914,92,36
2657987-20201120,2657987,457394,1,CHICAGO EATS SPORTS BAR LLC,CHICAGO EATS SPORTS BAR,5312 W CHICAGO AVE 1,CHICAGO,IL,60651,37,18,37-18,15,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2657987,ISSUE,03/21/2019,02/25/2020,06/05/2019,Y,11/20/2020,10/15/2022,11/20/2020,11/20/2020,AAI,,,41.895017753,-87.758649042,"(41.8950177526945, -87.75864904199005)",26,4,4299,562,45
2762127-20201120,2762127,471718,1,EPIC L.O.F. INVESTMENT GROUP LLC.,EPIC L.O.F. INVESTMENTS,4208 W ROOSEVELT RD 1,CHICAGO,IL,60623,24,,24-,,1010,Limited Business License,602,Administrative Commercial Office,2762127,ISSUE,11/17/2020,11/17/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.866206104,-87.730442651,"(41.86620610371646, -87.7304426507358)",30,36,21572,98,14
2373899-20210116,2761352,395470,1,MIRACLE HERBS & WELLNESS CORPORATION,Miracle Herbs,6857 W BELMONT AVE 1ST,CHICAGO,IL,60634,36,,36-,,1010,Limited Business License,767,Retail Sales of General Merchandise and Non-Perishable Food,2373899,RENEW,,11/15/2020,11/19/2020,N,01/16/2021,01/15/2023,11/19/2020,11/20/2020,AAI,,,41.938014417,-87.797990182,"(41.938014416879916, -87.79799018194876)",18,39,22254,397,44
2589654-20201116,2752646,426457,1,EAGLE FOOD & LIQUOR MARKET INC.,EAGLE FOOD & LIQUOR MARKET INC,3004 E 100TH ST 1,CHICAGO,IL,60617,10,7,10-7,4,1474,Package Goods,774,Retail Sales of Packaged Liquor,2589654,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/20/2020,AAI,,,41.713497843,-87.550733107,"(41.713497843474286, -87.55073310658338)",48,47,21202,526,47
2492879-20201116,2752394,410553,1,GLOBALMEX INC.,GLOBALMEX INC.,2541 S DAMEN AVE 1ST A,CHICAGO,IL,60608,25,15,25-15,10,1007,Wholesale Food Establishment,864,Wholesale Food Sales,2492879,RENEW,,09/15/2020,11/19/2020,N,11/16/2020,11/15/2022,11/19/2020,11/20/2020,AAI,,,41.845599872,-87.675523054,"(41.845599871799855, -87.67552305395411)",33,8,14920,126,26
2762221-20201120,2762221,471781,1,BlackGuysRock!,BLACKGUYSROCK!,651 E 82ND ST 3 UNIT 3,CHICAGO,IL,60619,6,,6-,,4404,Regulated Business License,722,Online Sales (Home Based Business),2762221,ISSUE,11/19/2020,11/19/2020,11/19/2020,N,11/20/2020,12/15/2022,11/19/2020,11/20/2020,AAI,,,41.745642623,-87.607900637,"(41.745642622797874, -87.60790063716095)",40,31,21546,140,32
1675529-20201016,2746513,299487,1,"EXTRA SPACE MANAGEMENT, INC.",EXTRA SPACE STORAGE,1255 S WABASH AVE,CHICAGO,IL,60605,3,40,3-40,1,1010,Limited Business License,,,1675529,RENEW,,08/15/2020,09/03/2020,N,10/16/2020,10/15/2022,09/03/2020,11/20/2020,AAI,,,41.865948481,-87.625650953,"(41.865948481441315, -87.62565095313721)",34,48,14913,374,9
1801485-20201016,2746586,306481,1,"SAAJ CAFE, INC.",TAXIM,1558 N MILWAUKEE AVE 1,CHICAGO,IL,60622,1,8,1-8,14,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1801485,RENEW,,08/15/2020,10/14/2020,N,10/16/2020,10/15/2022,10/14/2020,11/20/2020,AAI,,33,41.909738341,-87.676692655,"(41.90973834112386, -87.67669265473931)",25,24,21560,481,41
1382730-20200616,2725422,266409,1,CEDARS MEDITERRANEAN KITCHEN LLC,CEDARS MEDITHERRANEAN KITCHEN,1206 E 53RD ST,CHICAGO,IL,60615,4,1,4-1,2,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1382730,RENEW,,04/15/2020,11/20/2020,N,06/16/2020,06/15/2022,11/20/2020,11/23/2020,AAI,,61,41.799569458,-87.596319929,"(41.79956945794282, -87.59631992883017)",8,1,21192,499,10
1985943-20201216,2755670,345951,1,"NADIA FISH & CHICKEN, INC.","NADIA FISH & CHICKEN, INC.",2704 E 75TH ST 1,CHICAGO,IL,60649,7,44,7-44,3,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1985943,RENEW,,10/15/2020,11/22/2020,N,12/16/2020,12/15/2022,11/22/2020,11/23/2020,AAI,,49,41.76005986,-87.558489862,"(41.760059860189635, -87.55848986206058)",39,43,22538,421,37
2758115-20201123,2758115,471555,1,QUANTUM EDGE IT,TEAMLOGIC IT 61315,935 W CHESTNUT ST 4 420,CHICAGO,IL,60642,27,,27-,,1010,Limited Business License,652,Electronic Equipment Repair,2758115,ISSUE,11/09/2020,11/09/2020,11/10/2020,N,11/23/2020,11/15/2022,11/10/2020,11/23/2020,AAI,,,41.898335293,-87.651400121,"(41.898335292668456, -87.65140012099847)",25,41,22620,109,46
2694642-20201123,2694642,463258,1,3XLLL SHEFFIELD LLC,KAPITAN,2142 N CLYBOURN AVE 1,CHICAGO,IL,60614,2,20,2-20,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2694642,ISSUE,10/01/2019,10/23/2019,10/03/2019,Y,11/23/2020,12/15/2022,11/23/2020,11/23/2020,AAI,,,41.920080499,-87.662480169,"(41.920080499210265, -87.66248016891137)",68,51,21190,210,11
2476878-20200816,2736976,408044,1,"11 DINING, LLC","11 DINING, LLC",50 S LA SALLE ST 5TH,CHICAGO,IL,60603,42,9,42-9,1,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2476878,RENEW,,06/15/2020,10/26/2020,N,08/16/2020,08/15/2022,10/26/2020,11/23/2020,AAI,,,41.880705104,-87.632476305,"(41.88070510431831, -87.63247630514623)",38,22,14311,92,36
2293834-20200516,2721924,386117,1,FLYING SQUIRREL INDUSTRIES LLC,SLIPPERY SLOPE,2357 N MILWAUKEE AVE 1 & 2,CHICAGO,IL,60647,1,10,1-10,14,1050,Public Place of Amusement,744,Provides Onsite Entertainment or Rentals,2293834,RENEW,,03/15/2020,10/28/2020,N,05/16/2020,05/15/2022,10/28/2020,11/23/2020,AAI,,,41.924150306,-87.699150883,"(41.92415030562805, -87.69915088269197)",23,15,22535,322,41
21545-20201016,2745775,29288,1,"GYRENE, INC.",JIMMY'S ON CLARK,6973 N CLARK ST 1ST,CHICAGO,IL,60626,49,3,49-3,24,1470,Tavern,829,Tavern - Consumption of Liquor on Premise,21545,RENEW,,08/15/2020,10/14/2020,N,10/16/2020,10/15/2022,10/14/2020,11/23/2020,AAI,,24,42.008720542,-87.673750362,"(42.00872054229562, -87.67375036177943)",10,3,21853,49,5
2762256-20201123,2762256,471813,1,IMRAN'S BARBER SALON INC.,IMRAN'S BARBER SALON,4300 N KEDZIE AVE 1 1,CHICAGO,IL,60618,33,,33-,,1010,Limited Business License,894,Hair Services,2762256,ISSUE,11/20/2020,11/20/2020,11/22/2020,N,11/23/2020,12/15/2022,11/22/2020,11/23/2020,AAI,,60,41.959452718,-87.708339321,"(41.95945271813324, -87.70833932062799)",16,2,21538,56,20
2355180-20201216,2756066,393331,1,"51 HALSTED, INC.",CITGO,5101 - 5109 S HALSTED ST,CHICAGO,IL,60609,20,38,20-38,9,1275,Filling Station,666,Operation of a Fuel Filling Station,2355180,RENEW,,10/15/2020,11/21/2020,N,12/16/2020,12/15/2022,11/21/2020,11/23/2020,AAI,,,41.801540128,-87.645196989,"(41.80154012834072, -87.64519698905924)",59,12,14924,84,4
2293835-20200516,2721926,386117,1,FLYING SQUIRREL INDUSTRIES LLC,SLIPPERY SLOPE,2357 N MILWAUKEE AVE 1 & 2,CHICAGO,IL,60647,1,10,1-10,14,1006,Retail Food Establishment,736,"Preparation of Food, Coffee or Drinks",2293835,RENEW,,03/15/2020,10/28/2020,N,05/16/2020,05/15/2022,10/28/2020,11/23/2020,AAI,,,41.924150306,-87.699150883,"(41.92415030562805, -87.69915088269197)",23,15,22535,322,41
2601202-20200916,2743672,427991,1,"STEADFAST DANCE CENTER, LLC",STEADFAST DANCE CENTER,1860 S BLUE ISLAND AVE 3 303,CHICAGO,IL,60608,25,7,25-7,12,1023,Children's Services Facility License,952,Instruction in Dance for Both Children and Adults (40% or More Children),2601202,RENEW,,07/15/2020,11/20/2020,N,09/16/2020,09/15/2022,11/20/2020,11/23/2020,AAI,,,41.856390676,-87.662587604,"(41.85639067573365, -87.66258760374137)",33,8,14920,365,26
2630906-20201116,2752874,432100,1,"VITALIZING BUSINESS SOLUTIONS INC.,","VITALIZING BUSINESS SOLUTIONS INC.,",7547 S EMERALD AVE,CHICAGO,IL,60620,6,20,6-20,6,4404,Regulated Business License,667,Graphic Design (Home Based Business),2630906,RENEW,,09/15/2020,11/20/2020,N,11/16/2020,11/15/2022,11/20/2020,11/23/2020,AAI,,,41.756515095,-87.642822437,"(41.75651509542868, -87.6428224367071)",66,17,21554,511,32
1718241-20200916,2740966,305605,1,JOMANI INC.,DUNKIN DONUTS,27 W LAKE ST,CHICAGO,IL,60601,42,9,42-9,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1718241,RENEW,,07/15/2020,09/15/2020,N,09/16/2020,09/15/2022,09/15/2020,11/23/2020,AAI,,1,41.885639263,-87.628976237,"(41.885639263164336, -87.62897623690175)",38,22,14309,92,36
2496000-20201216,2756405,411076,1,"G & G AUTO, INC.","G & G AUTO, INC.",3542 W FULLERTON AVE 1,CHICAGO,IL,60647,35,62,35-62,14,8340,Motor Vehicle Services License,712,Motor Vehicle Repair -  Engine and Transmission Work,2496000,RENEW,,10/15/2020,11/21/2020,N,12/16/2020,12/15/2022,11/21/2020,11/23/2020,AAI,,,41.924724638,-87.716202284,"(41.92472463795922, -87.71620228410502)",23,10,22535,70,12
2718362-20201123,2718362,467131,1,MONA'S SWEET SPOT LLC,MONA'S SWEET SPOT LLC,5412 W DEVON AVE 1ST,CHICAGO,IL,60646,41,19,41-19,16,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2718362,ISSUE,03/04/2020,10/30/2020,11/06/2020,N,11/23/2020,12/15/2022,11/20/2020,11/23/2020,AAI,,,41.997438092,-87.764322011,"(41.997438091518625, -87.76432201057698)",12,34,22532,782,29
2476557-20210116,2761472,407896,1,"NANDO'S OF HYDE PARK, LLC",NANDO'S PERI PERI,1447 E 53RD ST 1,CHICAGO,IL,60615,5,54,5-54,2,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2476557,RENEW,,11/15/2020,11/20/2020,N,01/16/2021,01/15/2023,11/20/2020,11/23/2020,AAI,,61,41.799423505,-87.589964079,"(41.799423505424414, -87.58996407916824)",8,1,21192,500,33
2496708-20201216,2756430,411430,1,BAMBINOS BAKERY INC.,BAMBINOS BAKERY,3508 W 63RD ST 1ST,CHICAGO,IL,60629,23,16,23-16,8,1006,Retail Food Establishment,782,Sale of Food Prepared Onsite Without Dining Area,2496708,RENEW,,10/15/2020,11/20/2020,N,12/16/2020,12/15/2022,11/20/2020,11/23/2020,AAI,,3,41.778957087,-87.710826642,"(41.77895708746995, -87.71082664189547)",64,44,21867,344,6
2757278-20201123,2757278,470949,1,JAVIER LEBRON,QUE RICO!,4454 S WESTERN AVE 1ST,CHICAGO,IL,60609,15,,15-,,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2757278,ISSUE,10/20/2020,10/20/2020,10/20/2020,N,11/23/2020,12/15/2022,11/20/2020,11/23/2020,AAI,,,41.812266012,-87.684683345,"(41.81226601156809, -87.68468334545902)",55,29,14924,718,3
2363494-20201116,2752149,394267,1,WALK BY FAITH CORP.,WALK BY FAITH,5743 W NORTH AVE,CHICAGO,IL,60639,29,4,29-4,25,1010,Limited Business License,904,Retail Sales of General Merchandise,2363494,RENEW,,09/15/2020,11/20/2020,N,11/16/2020,11/15/2022,11/20/2020,11/23/2020,AAI,,,41.909212435,-87.769993834,"(41.909212434640935, -87.76999383393077)",26,52,22615,565,7
2694641-20201123,2694641,463258,1,3XLLL SHEFFIELD LLC,KAPITAN,2142 N CLYBOURN AVE 1,CHICAGO,IL,60614,2,20,2-20,18,1006,Retail Food Establishment,735,Preparation of Food and Dining on Premise With Seating,2694641,ISSUE,10/01/2019,10/03/2019,10/03/2019,Y,11/23/2020,12/15/2022,11/23/2020,11/23/2020,AAI,,,41.920080499,-87.662480169,"(41.920080499210265, -87.66248016891137)",68,51,21190,210,11
2762174-20201123,2762174,471745,1,Alfredo Tellez,Tellez,4100 S ASHLAND AVE  900,CHICAGO,IL,60609,12,,12-,,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2762174,ISSUE,11/18/2020,11/18/2020,11/21/2020,N,11/23/2020,12/15/2022,11/21/2020,11/23/2020,AAI,,10,41.819441426,-87.665375545,"(41.81944142629576, -87.6653755449091)",59,29,14924,706,1
2493186-20201216,2756388,410761,1,ZIP CONSTRUCTION INC.,ZIP CONSTRUCTION INC.,8606 N OLEANDER AVE 1ST,NILES,IL,60714,,,,,4404,Regulated Business License,901,"Heating, Ventilation and Air Conditioning Services - Residential",2493186,RENEW,,10/15/2020,11/20/2020,N,12/16/2020,12/15/2022,11/20/2020,11/23/2020,AAI,,,,,,,,,,
2636872-20201216,2756965,454713,1,ALEMAN HEATING AND COOLING LLC,ALEMAN HEATING AND COOLING LLC,1337  HIGHLAND AVE,BERWYN,IL,60402,,,,,4404,Regulated Business License,901,"Heating, Ventilation and Air Conditioning Services - Residential",2636872,RENEW,,10/15/2020,11/20/2020,N,12/16/2020,12/15/2022,11/20/2020,11/23/2020,AAI,,,,,,,,,,
68845-20201116,2750691,60117,1,DORINA MOCUTA,DORINA SKIN CARE ELECTROLYSIS,5330 W DEVON AVE  ST 16,CHICAGO,IL,60646,41,5,41-5,16,1010,Limited Business License,,,68845,RENEW,,09/15/2020,11/22/2020,N,11/16/2020,11/15/2022,11/22/2020,11/23/2020,AAI,,,,,,,,,,
2495806-20201116,2752434,410962,1,DEVIN ELLIOT MEYERS,BIONIC TREE,2321 N KILDARE AVE,CHICAGO,IL,60639,31,36,31-36,25,4404,Regulated Business License,667,Graphic Design (Home Based Business),2495806,RENEW,,09/15/2020,11/22/2020,N,11/16/2020,11/15/2022,11/22/2020,11/23/2020,AAI,,,41.923227498,-87.733932949,"(41.92322749776885, -87.73393294893782)",21,7,22615,463,17
2202209-20201216,2755937,377171,1,"PERUVIAN CONNECTION, LLC","PERUVIAN CONNECTION, LLC",925 W ARMITAGE AVE 1ST,CHICAGO,IL,60614,43,,43-,,1010,Limited Business License,911,Retail Sales of Clothing / Accessories / Shoes,2202209,RENEW,,10/15/2020,11/20/2020,N,12/16/2020,12/15/2022,11/20/2020,11/23/2020,AAI,,,41.918015857,-87.652004095,"(41.91801585741421, -87.65200409451218)",68,51,21190,168,34
